model_name,source_group,n_test,n_positive,n_negative,auroc,auroc_ci_lower,auroc_ci_upper,auroc_with_ci,auprc,auprc_ci_lower,auprc_ci_upper,auprc_with_ci,accuracy,accuracy_ci_lower,accuracy_ci_upper,accuracy_with_ci,precision,precision_ci_lower,precision_ci_upper,precision_with_ci,recall_sensitivity,recall_sensitivity_ci_lower,recall_sensitivity_ci_upper,recall_sensitivity_with_ci,specificity,specificity_ci_lower,specificity_ci_upper,specificity_with_ci,f1_score,f1_score_ci_lower,f1_score_ci_upper,f1_score_with_ci,brier_score,brier_score_ci_lower,brier_score_ci_upper,brier_score_with_ci
logistic_regression,baseline,80,50,30,0.9773333333333333,0.9446666666666668,1.0,0.977 (0.945-1.000),0.9888406183337717,0.9741277985401428,1.0,0.989 (0.974-1.000),0.9375,0.8875,0.9875,0.938 (0.887-0.988),0.9411764705882353,0.8799298245614037,1.0,0.941 (0.880-1.000),0.96,0.9,1.0,0.960 (0.900-1.000),0.9,0.7991666666666681,1.0,0.900 (0.799-1.000),0.9504950495049505,0.9072164948453608,0.9899039903990399,0.950 (0.907-0.990),0.054728394569871316,0.01605699773909348,0.09921374631842406,0.055 (0.016-0.099)
random_forest,baseline,80,50,30,1.0,0.9999999999999999,1.0,1.000 (1.000-1.000),1.0,0.9999999999999999,1.0,1.000 (1.000-1.000),1.0,1.0,1.0,1.000 (1.000-1.000),1.0,1.0,1.0,1.000 (1.000-1.000),1.0,1.0,1.0,1.000 (1.000-1.000),1.0,1.0,1.0,1.000 (1.000-1.000),1.0,1.0,1.0,1.000 (1.000-1.000),0.008189166666666668,0.0035705798611111116,0.014019197916666662,0.008 (0.004-0.014)
hist_gradient_boosting,baseline,80,50,30,1.0,0.9999999999999999,1.0,1.000 (1.000-1.000),1.0,1.0,1.0000000000000002,1.000 (1.000-1.000),0.9875,0.9625,1.0,0.988 (0.963-1.000),1.0,1.0,1.0,1.000 (1.000-1.000),0.98,0.94,1.0,0.980 (0.940-1.000),1.0,1.0,1.0,1.000 (1.000-1.000),0.98989898989899,0.9690721649484536,1.0,0.990 (0.969-1.000),0.004682702986121159,1.6746187594996518e-07,0.013978918851060977,0.005 (0.000-0.014)
autoprognosis,autoprognosis,80,50,30,1.0,0.9999999999999999,1.0,1.000 (1.000-1.000),1.0,1.0,1.0000000000000002,1.000 (1.000-1.000),1.0,1.0,1.0,1.000 (1.000-1.000),1.0,1.0,1.0,1.000 (1.000-1.000),1.0,1.0,1.0,1.000 (1.000-1.000),1.0,1.0,1.0,1.000 (1.000-1.000),1.0,1.0,1.0,1.000 (1.000-1.000),0.021390067716168783,0.012232936975074524,0.03087348414215163,0.021 (0.012-0.031)
