model_name,estimator_label,fallback_note,cv_fold_count,auroc_mean,auroc_std,auprc_mean,auprc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_sensitivity_mean,recall_sensitivity_std,specificity_mean,specificity_std,f1_score_mean,f1_score_std,brier_score_mean,brier_score_std
logistic_regression,LogisticRegression,,5,0.998125,0.0025937290829143,0.9989159599853727,0.0014951751359849,0.975,0.017815241017174,0.9948717948717948,0.0114670152692297,0.965,0.0223606797749979,0.9916666666666668,0.0186338998124982,0.9796170074651088,0.014490512335704,0.0181409400395303,0.007548141197781
random_forest,RandomForestClassifier,,5,0.9996875,0.0004658474953124,0.9997560975609756,0.0003339771692104,0.99375,0.0085581649610182,0.9902439024390244,0.0133590867684186,1.0,0.0,0.9833333333333334,0.0228217732293819,0.9950617283950616,0.0067620068827798,0.0100396875,0.0066953977401945
hist_gradient_boosting,HistGradientBoostingClassifier,xgboost unavailable; HistGradientBoostingClassifier was used as the boosting baseline substitute.,5,0.9997916666666666,0.0004658474953124,0.999878048780488,0.0002726912167682,0.990625,0.0085581649610182,0.9951219512195122,0.0109076486707306,0.99,0.0136930639376291,0.9916666666666668,0.0186338998124982,0.9924675730582904,0.0068773173662373,0.0080020402969332,0.0072879731917152
